time,tavg,tmin,tmax,prcp,wspd
,23.4,18.0,31.9,0.0,
,25.4,17.9,34.1,0.0,
,23.2,18.0,31.0,0.0,
,20.5,17.7,26.3,0.0,
,22.1,16.0,29.3,0.0,
,22.6,16.0,30.4,0.0,
,21.3,16.9,27.8,0.0,
,22.6,18.8,29.0,0.0,
,22.0,18.0,29.9,0.0,
,23.8,17.0,32.2,0.0,
,24.5,17.5,32.0,0.0,
,23.4,16.0,33.6,0.0,
,26.0,16.5,35.0,0.0,
,24.7,16.4,33.1,0.0,
,23.4,16.4,31.4,0.0,
,23.3,19.3,29.4,0.0,
,22.8,16.5,31.2,0.0,
,24.7,16.4,35.0,0.0,
,29.2,18.0,39.0,0.0,
,31.4,21.7,42.4,0.0,
,29.2,19.5,40.2,0.0,
,24.7,17.3,33.0,0.0,
,21.6,18.6,25.8,0.0,
,21.1,17.0,27.0,0.0,
,23.4,16.9,31.0,0.0,
,25.5,17.6,34.3,0.0,
,25.9,17.9,35.0,0.0,
,26.9,18.3,36.5,0.0,
,27.2,17.8,37.5,0.0,
,27.9,18.6,38.4,0.0,
,27.1,19.0,37.8,0.0,
,24.7,17.5,34.0,0.0,
,24.3,16.5,34.1,0.0,
,24.9,18.5,33.7,0.0,
,24.7,16.3,34.3,0.0,
,27.1,17.3,37.2,0.0,
,30.9,20.5,43.1,0.0,
,32.4,23.9,44.4,0.0,
,32.7,23.8,44.0,0.0,
,30.6,23.0,39.0,0.0,
,31.8,22.0,42.2,0.0,
,29.7,20.5,38.0,0.0,
,29.0,20.1,39.0,0.0,
,30.1,22.0,37.8,0.0,
,31.6,24.6,42.0,16.5,
,34.1,21.4,42.5,0.0,
,32.9,25.4,40.8,0.0,
,31.0,22.6,40.0,0.0,
,32.2,22.2,43.0,0.0,
,35.6,25.4,47.2,0.0,
,38.6,29.2,47.6,0.0,
,35.9,28.7,44.6,0.0,
,31.5,24.0,39.9,0.0,
,27.8,19.3,37.3,0.0,
,26.7,20.3,36.0,0.0,
,27.2,18.6,37.0,0.0,
,29.8,20.2,40.7,0.0,
,32.6,23.8,43.2,0.0,
,32.1,24.0,42.9,0.0,
,32.4,24.3,42.1,0.0,
,33.3,24.0,43.0,0.0,
,33.4,23.7,43.5,0.0,
,29.3,21.8,39.0,0.0,
,28.2,19.2,38.6,0.0,
,27.8,19.7,38.1,0.0,
,28.7,19.8,38.7,0.0,
,30.6,21.0,41.6,0.0,
,32.8,23.0,42.8,0.0,
,33.2,26.0,42.0,0.0,
,33.9,28.0,42.0,0.0,
,29.4,22.0,39.0,0.0,
,27.8,20.6,37.0,0.0,
,29.8,21.0,40.2,0.0,
,32.9,23.2,42.4,0.0,
,34.9,25.3,46.0,0.0,
,35.4,26.8,45.4,0.0,
,32.5,26.0,39.0,0.0,
,31.3,25.0,37.7,0.0,
,30.4,23.0,39.5,0.0,
,27.7,20.5,37.1,0.0,
,25.2,17.6,33.3,0.0,
,26.6,19.2,34.5,0.0,
,29.9,22.0,39.7,0.0,
,29.7,22.3,38.7,0.0,
,27.8,20.8,37.7,0.0,
,25.0,18.0,33.4,0.0,
,25.7,18.8,33.0,0.0,
,25.3,18.8,33.3,0.0,
,26.1,21.0,35.0,0.0,
,26.2,19.7,33.0,0.0,
,28.6,20.6,39.1,0.0,
,27.3,21.0,34.2,0.0,
,27.8,19.9,36.2,0.0,
,30.8,23.0,40.1,0.0,
,30.5,23.8,38.3,0.5,
,27.4,23.0,37.1,0.0,
,24.8,19.0,30.7,0.5,
,25.9,20.0,34.1,0.0,
,24.6,16.9,33.1,0.0,
,22.4,18.4,29.1,0.0,
,25.7,17.4,34.3,0.0,
,24.8,18.7,35.0,0.0,
,30.1,22.3,38.6,0.0,
,29.1,23.0,37.5,0.0,
,22.4,18.0,28.0,0.0,
,23.2,16.2,32.0,0.0,
,22.6,17.0,29.8,0.0,
,23.1,16.6,30.5,0.0,
,24.2,19.0,30.3,0.0,
,23.1,17.4,30.1,0.0,
,24.9,19.7,31.2,0.0,
,24.8,17.6,32.3,0.0,
,23.3,16.6,31.6,0.0,
,25.5,17.5,33.0,0.0,
,25.8,18.0,34.8,0.0,
,25.1,18.6,33.0,0.0,
,24.9,19.2,32.5,0.0,
,26.0,16.8,35.0,0.0,
,28.2,19.9,36.5,0.0,
,30.5,22.7,39.7,0.0,
,30.3,22.4,39.0,0.0,
,26.4,19.6,34.1,0.0,
,25.4,20.0,32.5,0.0,
,26.3,19.4,33.4,0.0,
,28.0,21.0,35.1,0.0,
,22.2,19.0,26.3,0.0,
,24.1,20.0,29.9,0.0,
,22.2,17.0,28.3,0.0,
,23.2,17.0,29.7,0.0,
,24.3,18.2,31.5,0.0,
,21.3,17.5,28.5,0.0,
,20.1,17.0,26.3,16.0,
,19.4,14.4,24.6,27.2,
,20.8,17.7,24.8,0.8,
,20.7,17.8,24.3,1.8,
,21.0,18.0,24.6,0.0,
,20.7,14.7,27.6,0.0,
,21.4,14.0,29.6,0.0,
,22.6,14.0,31.1,0.0,
,22.2,15.1,29.0,0.0,
,23.0,16.0,31.1,0.0,
,23.8,19.0,30.2,0.0,
,24.3,20.0,31.3,0.0,
,19.9,15.7,25.0,0.0,
,17.9,16.0,20.0,0.0,
,16.9,11.0,23.2,0.0,
,15.1,12.0,18.8,0.0,
,15.1,10.0,20.6,3.3,
,18.3,13.6,24.0,0.0,
,17.9,11.6,24.0,0.0,
,17.6,12.0,24.0,0.0,
,18.1,12.0,24.0,0.0,
,19.6,13.0,26.7,0.0,
,20.4,13.7,29.0,0.0,
,22.4,13.0,33.3,0.0,
,23.7,15.0,34.0,0.0,
,24.6,16.6,33.8,0.0,
,24.1,17.4,31.2,0.0,
,23.7,17.7,30.5,0.0,
,23.3,18.0,29.6,0.0,
,19.1,12.0,26.2,0.0,
,18.2,12.6,24.7,0.0,
,16.4,12.4,21.6,0.0,
,17.9,13.0,22.5,0.0,
,18.7,14.5,27.4,0.0,
,19.2,14.0,25.8,0.0,
,18.7,12.5,25.2,0.0,
,20.4,15.0,30.0,0.1,
,18.1,17.0,20.0,0.6,
,19.2,12.0,27.0,0.0,
,19.8,13.0,28.0,0.0,
,19.9,12.6,28.3,0.0,
,21.0,12.3,31.4,0.0,
,24.2,16.6,31.0,0.0,
,24.5,20.2,28.4,0.0,
,20.6,14.1,29.0,0.0,
,21.6,14.7,30.3,0.0,
,21.1,12.4,30.8,0.0,
,21.2,13.5,29.6,0.0,
,20.9,12.8,29.4,0.0,
,20.0,13.0,27.0,0.0,
,18.6,12.0,26.6,0.0,
,17.3,12.0,25.2,0.0,
,15.4,10.3,23.9,0.0,
,15.2,10.4,23.2,0.0,
,15.3,7.0,23.7,0.0,
,15.4,8.9,24.0,0.0,
,15.2,8.0,23.7,0.0,
,12.6,8.5,18.1,0.0,
,10.8,5.0,16.8,0.0,
,11.6,5.0,17.7,0.0,
,13.0,7.0,18.6,0.0,
,13.7,9.0,20.9,0.0,
,14.4,6.7,23.3,0.0,
,15.3,10.0,23.0,0.0,
,16.7,9.0,25.0,0.0,
,17.8,12.7,25.7,0.0,
,15.9,9.0,25.1,0.0,
,15.8,9.0,24.3,0.0,
,15.2,9.0,21.9,0.0,
,13.7,11.0,15.5,0.0,
,12.2,7.0,17.4,0.0,
,14.0,6.0,22.0,0.0,
,14.5,6.0,22.1,0.0,
,15.7,7.0,25.3,0.0,
,15.9,8.2,25.0,0.0,
,15.5,10.7,21.6,0.0,
,15.8,10.9,21.2,0.0,
,14.4,10.8,19.0,0.5,
,13.1,9.0,18.8,0.0,
,13.2,7.0,18.9,0.3,
,12.6,9.0,17.4,2.0,
,12.3,6.0,20.0,0.0,
,14.8,NaN,23.4,NaN,
,14.4,8.3,23.4,0.0,
,13.9,11.0,17.4,0.0,
,14.9,NaN,NaN,0.0,
,12.3,9.0,16.7,5.1,
,9.2,7.0,13.0,41.9,
,8.1,3.9,14.0,4.1,
,10.6,3.3,19.0,0.0,
,13.4,4.8,19.4,0.0,
,12.6,6.6,18.5,0.0,
,14.6,7.2,20.0,0.0,
,16.1,8.6,20.5,0.0,
,13.3,NaN,NaN,2.0,
,15.0,6.0,25.2,0.0,
,16.4,5.9,28.2,0.0,
,17.6,8.8,27.6,0.0,
,15.4,NaN,NaN,0.0,
,14.0,NaN,21.2,0.0,
,13.6,6.8,21.6,0.0,
,12.9,6.7,19.2,0.0,
,13.9,7.2,NaN,0.0,
,12.4,10.9,17.0,1.0,
,11.5,7.3,16.0,1.0,
,10.1,7.0,13.9,0.0,
,9.1,6.7,13.3,10.9,
,9.2,2.7,17.0,0.5,
,10.0,4.0,17.0,0.0,
,10.7,4.0,18.0,0.0,
,11.6,5.0,20.2,0.0,
,15.8,4.3,21.2,2.0,
,14.9,9.9,20.4,0.0,
,18.7,10.9,24.8,13.0,
,16.7,14.0,20.9,0.5,
,16.0,11.6,23.0,1.0,
,16.1,8.0,25.2,0.0,
,16.6,7.7,27.0,0.0,
,15.6,6.8,21.5,0.0,
,13.6,10.6,17.6,0.0,
,12.4,6.9,17.2,1.0,
,14.3,9.0,20.4,0.0,
,13.6,11.0,19.9,0.0,
,13.8,11.0,16.6,0.0,
,13.5,9.0,18.0,5.1,
,14.2,12.0,18.5,7.1,
,13.3,9.0,20.3,0.5,
,15.3,11.1,19.0,4.1,
,15.0,NaN,NaN,2.0,
,11.7,NaN,15.6,10.9,
,11.2,6.8,15.0,6.1,
,13.9,11.0,17.0,7.1,
,16.1,11.7,20.7,6.1,
,15.8,11.2,22.2,0.0,
,15.7,10.9,21.0,0.0,
,17.1,NaN,NaN,0.0,
,18.4,9.9,29.0,0.0,
,25.3,16.0,33.1,0.0,
,15.1,12.6,20.2,3.0,
,14.1,8.0,20.5,2.0,
,16.0,7.2,20.2,3.0,
,12.7,8.0,NaN,13.0,
,12.6,NaN,NaN,0.0,
,15.3,9.5,NaN,0.0,
,14.6,11.6,19.0,0.0,
,14.4,10.8,19.0,9.9,
,15.3,9.7,21.3,0.0,
,16.2,9.4,20.2,3.0,
,13.6,9.2,19.1,6.1,
,15.4,10.9,20.5,0.0,
,15.6,12.3,19.6,1.0,
,13.1,10.5,17.4,0.0,
,12.9,5.9,20.2,0.0,
,14.7,6.1,23.0,0.0,
,16.9,8.4,25.4,0.0,
,19.7,9.0,29.6,0.0,
,21.7,16.9,30.0,0.0,
,21.6,12.9,30.0,0.0,
,20.7,12.6,27.4,0.0,
,20.1,14.0,28.0,0.0,
,17.6,11.9,25.4,0.0,
,19.9,11.9,28.4,0.0,
,17.3,11.9,24.9,0.0,
,17.1,11.5,NaN,0.0,
,17.9,12.0,25.0,0.0,
,19.1,12.0,29.0,0.0,
,23.2,NaN,31.4,NaN,
,19.9,12.2,27.2,0.0,
,16.9,11.6,24.2,0.0,
,14.7,11.0,22.2,0.0,
,15.1,9.5,22.5,0.0,
,16.4,9.5,24.2,0.0,
,17.2,9.6,27.0,0.0,
,16.6,9.8,23.0,0.0,
,18.4,9.6,NaN,0.0,
,17.9,11.3,NaN,0.0,
,18.6,11.5,27.0,0.0,
,20.9,12.0,30.2,0.0,
,23.4,12.3,31.1,0.0,
,21.8,15.6,30.0,0.0,
,18.6,12.7,26.1,0.0,
,17.9,13.3,24.0,0.0,
,17.9,12.8,24.7,0.0,
,19.9,12.8,28.8,0.0,
,19.2,12.7,27.1,0.5,
,17.9,12.5,23.4,0.0,
,17.7,NaN,NaN,NaN,
,17.7,12.4,24.0,NaN,
,20.4,12.8,27.2,NaN,
,21.8,14.5,31.5,NaN,
,20.6,NaN,NaN,NaN,
,18.7,NaN,23.7,NaN,
,20.6,NaN,27.0,NaN,
,20.9,14.0,29.2,NaN,
,21.7,15.0,28.0,NaN,
,25.0,15.8,34.7,0.0,
,28.3,19.8,NaN,NaN,
,28.8,NaN,37.2,NaN,
,27.6,20.4,35.7,NaN,
,26.3,NaN,NaN,0.0,
,22.4,16.1,29.6,0.0,
,21.9,14.9,30.0,0.0,
,19.6,15.3,NaN,0.0,
,18.8,NaN,NaN,0.0,
,19.1,NaN,27.5,0.0,
,17.4,9.6,26.6,0.0,
,17.8,10.9,25.4,0.0,
,19.3,11.5,27.3,0.0,
,19.7,11.7,27.0,0.0,
,20.1,13.2,26.5,0.0,
,19.1,15.0,25.1,0.0,
,17.4,NaN,NaN,0.0,
,16.7,12.9,21.5,0.0,
,15.9,10.5,NaN,0.0,
,19.4,NaN,27.4,0.0,
,23.2,13.0,33.2,0.0,
,20.3,12.9,31.5,0.0,
,22.8,13.1,33.4,0.0,
,27.4,13.9,35.3,0.0,
,28.2,20.6,38.4,0.0,
,26.3,17.9,32.7,0.0,
,21.8,14.5,31.4,0.0,
,20.7,14.2,29.3,0.0,
,19.7,12.7,28.8,0.0,
,21.8,13.1,31.0,0.0,
,23.0,15.3,31.0,0.0,
,19.3,15.3,24.1,0.0,
,21.3,15.7,27.3,0.0,
,23.1,NaN,NaN,0.0,
,26.6,14.2,NaN,0.0,
,29.3,17.0,37.6,0.0,
,30.4,20.8,NaN,0.0,
,29.8,21.0,38.2,0.0,
,28.1,18.9,36.2,0.0,
,29.2,19.5,NaN,0.0,
,27.3,18.0,38.0,0.0,
,25.4,NaN,NaN,0.0,
,23.8,15.7,33.2,0.0,
,22.4,15.0,NaN,0.0,
,21.1,16.0,28.0,NaN,
,18.4,16.0,20.3,NaN,
,19.5,14.7,NaN,0.5,
,20.8,NaN,NaN,0.0,
,20.8,16.0,27.0,NaN,
,21.9,15.0,29.0,NaN,
,23.1,15.8,31.3,0.0,
,23.5,14.6,NaN,0.0,
,22.9,16.4,30.0,0.0,
,22.7,15.5,31.0,0.0,
,22.7,15.5,30.2,0.0,
,21.6,14.2,29.8,0.0,
,21.4,14.7,NaN,0.0,
,23.7,15.7,32.8,0.0,
,25.3,17.5,34.0,0.0,
,23.2,16.8,31.6,0.0,
,22.0,14.7,30.6,0.0,
,21.0,15.6,28.3,0.0,
,23.2,15.7,30.3,0.0,
,24.7,16.8,33.1,0.0,
,25.9,NaN,34.3,0.0,
,25.8,18.0,35.0,0.0,
,26.5,18.6,NaN,0.0,
,24.9,17.8,33.0,0.0,
,24.6,17.9,30.0,0.0,
,24.3,17.9,29.8,0.0,
,23.9,18.0,32.5,NaN,
,25.9,18.0,34.2,NaN,
,28.8,20.7,NaN,0.0,
,29.8,21.7,39.4,0.0,
,33.1,25.5,41.4,0.0,
,35.2,26.9,45.2,0.0,
,34.9,25.4,44.5,9.9,
,34.4,25.0,42.8,0.0,
,30.2,21.7,39.5,0.0,
,27.3,18.4,36.0,0.0,
,27.1,18.5,36.0,0.0,
,26.3,18.5,35.6,0.0,
,29.8,20.6,40.2,0.0,
,33.3,20.5,43.5,0.0,
,36.2,25.3,NaN,0.0,
,29.9,22.0,38.0,0.0,
,26.9,19.3,35.1,0.0,
,26.6,19.1,35.5,0.0,
,27.4,18.9,37.0,0.0,
,30.5,19.0,39.0,0.0,
,32.3,26.0,41.3,0.0,
,29.5,23.0,37.3,0.0,
,28.3,NaN,35.0,0.0,
,29.2,20.2,38.0,0.0,
,34.0,25.6,43.1,0.0,
,33.2,23.6,42.0,0.0,
,31.5,22.0,41.4,0.0,
,32.2,23.0,42.0,0.0,
,34.7,26.4,45.0,0.0,
,35.4,26.5,45.0,0.0,
,32.8,24.4,41.7,0.0,
,28.2,19.0,38.2,0.0,
,28.0,20.0,36.0,0.0,
,26.5,19.6,35.6,0.0,
,35.6,20.9,41.1,0.8,
,33.2,26.5,42.0,0.0,
,33.8,24.4,NaN,2.0,
,36.8,24.7,44.4,0.0,
,35.5,27.4,42.5,0.0,
,29.1,23.0,36.0,0.0,
,26.9,19.0,35.0,0.0,
,25.0,19.1,34.2,0.0,
,23.9,21.0,31.2,3.0,
,23.3,19.0,28.4,10.9,
,18.8,15.9,NaN,0.0,
,29.9,19.6,34.6,0.0,
,30.8,19.3,40.1,0.0,
,32.5,21.3,NaN,0.0,
,31.6,23.0,41.2,0.0,
,29.5,21.7,38.9,0.0,
,32.4,23.0,42.3,0.0,
,36.1,26.1,44.5,1.0,
,36.8,NaN,46.1,0.0,
,35.9,25.5,44.7,0.0,
,35.0,27.0,44.0,2.0,
,32.9,24.5,42.0,0.0,
,32.8,22.7,42.3,0.0,
,29.4,21.9,40.2,0.0,
,28.0,NaN,NaN,0.0,
,27.1,20.0,35.3,0.0,
,28.5,NaN,NaN,0.0,
,29.4,20.8,38.0,0.0,
,29.2,21.5,37.5,0.0,
,28.7,22.3,35.6,0.0,
,26.8,20.0,33.6,0.0,
,25.9,19.3,33.2,0.0,
,27.8,19.0,36.4,0.0,
,28.4,NaN,36.4,0.0,
,24.1,18.7,32.0,0.0,
,24.7,19.5,33.0,0.0,
,27.3,20.5,34.0,0.0,
,31.2,25.8,38.0,0.0,
,30.2,NaN,39.5,0.0,
,27.1,21.1,33.1,0.0,
,23.8,NaN,31.9,0.8,
,24.1,19.0,30.0,0.0,
,24.0,NaN,NaN,0.0,
,23.4,18.2,30.1,1.0,
,26.0,18.6,34.1,0.0,
,28.6,18.4,36.4,0.0,
,29.8,23.0,38.4,0.0,
,31.3,25.4,39.3,0.0,
,29.6,21.6,36.9,0.0,
,24.6,19.8,30.5,0.0,
,20.5,18.0,26.4,0.0,
,21.4,14.6,28.2,0.0,
,23.4,14.4,32.2,0.0,
,26.5,18.0,36.0,NaN,
,28.6,17.5,NaN,0.0,
,26.8,20.0,34.4,0.0,
,25.7,20.0,33.3,0.0,
,21.5,15.5,28.2,0.0,
,21.3,15.9,25.7,0.0,
,21.0,16.2,26.1,0.0,
,21.1,16.4,27.0,0.0,
,22.7,15.6,30.0,0.0,
,22.3,16.3,30.2,0.0,
,19.1,17.0,22.4,0.0,
,18.7,NaN,21.1,2.0,
,18.8,13.5,23.7,4.1,
,19.6,13.6,25.1,0.0,
,20.6,13.5,26.2,0.0,
,21.1,15.0,NaN,0.0,
,20.6,15.0,27.1,0.0,
,21.4,15.0,28.5,0.0,
,21.4,14.9,28.2,0.0,
,18.7,15.8,21.1,0.0,
,20.6,16.5,NaN,0.0,
,20.9,NaN,NaN,NaN,
,22.1,15.4,29.0,0.0,
,19.2,15.0,25.5,0.0,
,17.9,13.5,22.4,2.0,
,18.6,NaN,NaN,0.0,
,19.5,12.0,27.6,0.0,
,21.4,12.0,30.1,0.0,
,22.4,NaN,30.2,0.0,
,21.8,13.4,30.6,0.0,
,19.9,13.0,26.3,0.0,
,18.6,15.9,24.0,0.0,
,17.2,14.0,21.2,0.0,
,16.6,10.0,24.3,0.0,
,17.8,9.6,27.0,0.0,
,20.0,NaN,NaN,NaN,
,19.0,10.8,NaN,0.0,
,18.6,11.0,26.5,0.0,
,16.8,10.0,23.2,0.0,
,16.9,NaN,22.0,0.0,
,15.8,10.6,21.3,0.0,
,16.1,11.0,20.5,0.0,
,17.6,14.0,21.0,0.0,
,17.5,11.0,25.6,0.0,
,18.1,10.3,25.4,0.0,
,16.5,NaN,22.8,NaN,
,15.8,12.0,19.5,0.0,
,15.2,8.0,23.0,0.0,
,15.3,7.7,21.6,0.0,
,16.6,11.5,23.0,NaN,
,15.0,9.0,22.3,0.0,
,15.3,10.0,22.4,0.0,
,14.9,9.4,19.5,2.0,
,13.4,8.0,20.0,0.0,
,14.1,6.7,22.5,0.0,
,16.1,6.7,23.4,0.0,
,16.3,7.2,NaN,0.0,
,17.2,13.8,24.6,0.0,
,15.2,11.8,21.5,4.1,
,16.6,12.0,21.3,9.9,
,18.6,12.1,22.4,0.0,
,18.1,12.0,22.6,0.0,
,13.4,11.0,17.2,11.9,
,13.8,10.5,18.1,0.0,
,12.1,NaN,NaN,0.0,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,17.4,NaN,NaN,NaN,
,18.9,11.5,NaN,0.0,
,22.9,15.7,NaN,0.0,
,20.8,NaN,NaN,0.0,
,17.8,NaN,NaN,0.0,
,16.1,NaN,21.7,0.0,
,16.3,10.0,24.0,NaN,
,15.5,8.0,24.1,NaN,
,14.8,7.0,24.2,0.0,
,15.6,6.3,24.2,0.0,
,18.2,10.9,NaN,0.0,
,19.0,NaN,NaN,NaN,
,17.4,10.7,NaN,0.0,
,16.8,9.6,25.0,0.0,
,17.9,13.0,23.0,0.0,
,15.5,NaN,NaN,9.9,
,13.3,11.0,17.2,3.0,
,11.8,7.9,18.0,3.0,
,12.8,7.5,NaN,0.0,
,13.9,10.4,19.2,0.0,
,13.9,7.0,22.0,0.0,
,14.4,8.9,21.3,0.0,
,15.7,8.0,24.1,0.0,
,14.2,7.3,20.2,0.0,
,13.7,7.0,20.0,0.0,
,12.8,6.3,20.0,0.0,
,12.8,5.0,21.0,0.0,
,13.8,6.7,23.4,0.0,
,14.1,7.9,22.0,0.0,
,14.3,6.0,23.2,0.0,
,14.5,5.7,24.2,0.0,
,16.0,5.4,24.2,0.0,
,15.3,7.9,24.4,0.0,
,13.1,7.0,19.3,0.0,
,13.3,7.0,19.3,0.0,
,13.1,NaN,NaN,0.0,
,13.2,5.0,22.4,0.0,
,13.8,NaN,23.4,0.0,
,14.0,4.0,23.0,0.0,
,14.1,5.0,23.0,0.0,
,14.4,5.1,22.3,0.0,
,15.6,5.6,23.3,0.0,
,13.8,5.7,22.2,0.0,
,13.9,8.0,21.3,0.0,
,13.3,NaN,NaN,0.0,
,14.2,4.0,23.4,0.0,
,14.0,5.2,NaN,0.0,
,13.6,6.8,19.7,0.0,
,14.9,11.0,20.6,0.0,
,16.3,10.9,NaN,0.0,
,15.6,11.4,21.7,0.0,
,12.7,11.0,16.3,0.0,
,12.6,9.0,17.4,11.9,
,12.0,6.6,17.0,0.0,
,12.2,7.0,15.2,4.1,
,11.1,7.0,15.5,0.8,
,10.1,5.6,15.0,0.0,
,8.7,3.0,14.2,NaN,
,9.1,1.0,17.3,0.0,
,10.3,0.2,20.2,0.0,
,11.6,1.5,20.2,0.0,
,12.2,2.5,19.0,0.0,
,11.9,2.9,19.0,0.0,
,11.4,5.9,18.1,0.0,
,12.1,4.0,21.0,0.0,
,12.7,3.6,NaN,0.0,
,13.3,4.0,21.5,0.0,
,13.4,8.0,19.2,0.0,
,12.3,6.0,18.5,0.0,
,14.1,6.4,NaN,0.0,
,13.6,8.0,19.0,0.0,
,13.7,6.8,19.0,2.0,
,13.6,NaN,18.3,0.0,
,13.2,6.7,21.0,2.0,
,14.9,7.0,23.3,0.0,
,14.7,NaN,NaN,0.0,
,15.9,8.0,23.8,0.0,
,16.3,7.0,26.1,0.0,
,17.1,9.0,27.0,0.0,
,17.3,8.6,26.0,0.0,
,17.4,9.0,26.0,0.0,
,18.7,NaN,NaN,0.0,
,18.1,9.7,27.8,0.0,
,15.0,8.0,23.5,0.0,
,13.4,7.0,20.4,0.0,
,11.4,NaN,NaN,0.0,
,10.6,3.7,NaN,0.0,
,11.3,4.3,18.0,0.0,
,11.9,6.6,NaN,0.0,
,13.7,7.3,20.0,0.0,
,15.3,7.0,23.1,0.0,
,16.2,7.0,21.5,0.0,
,15.1,NaN,20.1,0.3,
,14.3,11.8,18.8,0.0,
,14.0,11.8,20.0,1.0,
,13.0,8.0,19.0,4.1,
,14.1,7.7,20.4,1.0,
,11.6,NaN,15.7,2.0,
,9.5,7.5,12.5,4.1,
,11.8,7.4,16.0,5.1,
,12.5,NaN,NaN,5.1,
,15.1,6.3,23.0,0.0,
,18.2,8.0,27.3,0.0,
,19.8,10.0,27.5,0.0,
,19.4,9.0,27.2,0.0,
,20.2,10.7,NaN,0.0,
,19.4,10.2,25.5,0.0,
,17.2,11.9,24.3,0.0,
,19.5,13.0,27.0,0.0,
,19.1,13.0,26.3,0.0,
,17.7,NaN,NaN,0.0,
,19.1,11.2,27.3,0.0,
,18.2,NaN,26.6,0.0,
,20.8,11.9,30.0,0.0,
,23.8,12.2,34.4,0.0,
,26.3,16.0,35.7,0.0,
,24.9,16.3,32.4,0.0,
,17.0,14.0,20.6,0.0,
,14.1,11.5,17.5,43.9,
,16.7,13.0,24.4,3.0,
,18.7,12.8,24.4,0.0,
,21.3,13.7,NaN,0.0,
,24.6,16.0,35.6,0.0,
,21.9,14.8,29.0,0.0,
,21.7,14.7,NaN,0.0,
,21.3,13.6,30.3,0.0,
,24.2,13.3,33.0,0.0,
,26.2,16.7,35.1,0.0,
,26.1,15.0,34.3,0.0,
,25.5,17.1,NaN,0.0,
,21.2,16.0,27.2,0.0,
,21.4,14.0,29.0,NaN,
,23.2,NaN,30.0,0.0,
,20.5,NaN,NaN,NaN,
,18.8,NaN,25.2,0.0,
,16.9,14.0,22.6,0.0,
,16.2,11.0,21.7,0.0,
,15.1,13.0,20.2,0.0,
,16.1,12.6,21.0,7.1,
,18.0,12.4,23.6,0.8,
,20.4,12.6,27.6,0.0,
,20.3,13.9,27.3,0.0,
,18.4,15.5,24.4,0.0,
,16.0,13.9,21.5,0.0,
,16.7,12.4,21.2,0.0,
,14.2,NaN,18.6,0.0,
,14.4,11.8,NaN,14.0,
,16.8,10.9,22.7,2.0,
,19.1,11.0,25.0,0.0,
,20.2,14.5,26.2,0.0,
,18.5,13.6,26.0,0.0,
,20.3,13.8,27.0,0.0,
,23.5,14.5,32.0,0.0,
,23.2,14.7,31.4,0.0,
,26.7,15.7,34.2,0.0,
,26.0,18.0,33.1,0.0,
,24.5,19.7,30.4,2.0,
,26.0,16.4,34.2,0.0,
,25.9,16.9,36.9,0.0,
,26.4,21.3,33.3,16.0,
,20.5,NaN,27.8,4.1,
,24.6,NaN,NaN,8.9,
,20.4,18.0,24.0,3.0,
,18.6,15.8,NaN,0.5,
,23.4,NaN,NaN,0.0,
,23.6,16.4,30.2,0.0,
,26.3,16.8,34.1,0.0,
,27.9,19.6,36.3,0.0,
,27.2,18.4,35.6,3.0,
,26.7,19.2,33.1,0.0,
,21.0,19.0,24.1,NaN,
,24.0,18.0,31.7,5.1,
,21.4,16.8,27.2,0.0,
,22.0,17.0,28.0,0.0,
,22.4,17.4,28.4,0.0,
,22.3,17.5,NaN,0.0,
,23.7,17.0,31.0,NaN,
,25.1,16.8,33.2,0.0,
,25.0,18.5,31.3,0.0,
,22.1,17.0,29.7,0.0,
,20.9,18.0,27.3,0.0,
,22.1,16.9,27.7,0.0,
,21.1,17.5,27.0,0.0,
,21.8,15.9,28.3,0.0,
,22.0,15.0,29.2,0.0,
,22.3,15.5,29.6,0.0,
,25.2,15.2,34.0,0.0,
,29.0,15.6,38.4,0.0,
,31.3,20.4,40.2,0.0,
,30.9,20.7,40.2,0.0,
,30.6,20.4,40.1,0.0,
,30.2,NaN,NaN,0.0,
,27.8,20.8,35.1,0.0,
,27.4,NaN,36.7,0.0,
,30.9,20.1,39.2,0.5,
,32.7,23.9,41.2,0.0,
,31.7,24.5,42.2,0.0,
,32.4,23.2,40.3,0.0,
,31.1,22.7,NaN,0.0,
,31.8,21.2,43.0,0.0,
,34.8,27.4,42.7,3.0,
,35.8,27.2,43.0,0.0,
,33.5,23.6,43.0,0.0,
,34.3,25.0,44.2,0.0,
,34.5,25.5,43.0,0.0,
,33.9,25.3,42.4,0.0,
,34.9,25.9,43.0,0.0,
,35.4,26.6,44.0,0.0,
,24.8,20.3,39.3,0.0,
,25.4,17.8,34.0,0.0,
,30.8,17.8,42.0,0.0,
,30.7,21.4,40.4,0.0,
,29.7,21.4,39.0,0.0,
,27.4,21.0,36.4,NaN,
,26.6,19.5,35.0,0.0,
,27.0,20.7,35.3,0.0,
,27.8,NaN,35.9,0.0,
,26.9,20.7,34.0,0.0,
,28.0,NaN,NaN,NaN,
,27.7,19.0,36.5,0.0,
,27.8,18.3,37.1,0.0,
,28.6,19.8,38.3,0.0,
,26.7,19.4,36.4,0.0,
,23.0,19.0,29.0,0.0,
,23.6,16.5,32.3,0.0,
